state,state_case,veh_crash,pedestrians,motorists_involved,rural_urban,latitude,longitude,fatalities,drunk_drivers,state_name,city_name,lighting_name,city,day,month,year,hour,minute,light_conditions
6,60888,1,0,1,1,37.09902222,-121.146,1,1,CA,Unknown,Daylight,0,28,5,2018,11,3,1
6,60889,2,0,2,2,36.22313889,-119.13600000000001,1,1,CA,Unknown,Daylight,0,24,4,2018,11,30,1
6,60890,2,0,3,2,38.04929444,-122.23200000000001,1,0,CA,Unknown,Dark Lighted,0,25,5,2018,3,52,3
6,60891,1,0,1,2,37.99141389,-121.759,1,1,CA,ANTIOCH,Dark Not Lighted,110,14,6,2018,99,99,2
6,60892,2,0,3,1,35.19598056,-119.11,2,0,CA,Unknown,Daylight,0,18,6,2018,13,18,1
6,60893,1,0,1,1,35.12479444,-119.439,1,0,CA,TAFT,Dark Not Lighted,3820,3,6,2018,4,35,2
6,60894,2,0,3,2,37.82823056,-122.28,1,0,CA,EMERYVILLE,Daylight,1170,10,6,2018,15,21,1
6,60895,1,0,1,2,33.96705556,-117.37299999999999,1,1,CA,RIVERSIDE,Dark Lighted,3070,21,6,2018,21,2,3
6,60896,2,0,2,2,33.89594167,-118.23,1,1,CA,COMPTON,Dark Lighted,810,12,6,2018,0,2,3
6,60897,2,0,3,2,32.76203333,-115.51799999999999,1,0,CA,Unknown,Daylight,0,26,7,2018,10,11,1
6,60898,2,0,4,1,38.07808611,-120.529,1,1,CA,Unknown,Daylight,0,15,7,2018,19,20,1
6,60899,2,0,2,2,32.70431111,-117.147,1,1,CA,SAN DIEGO,Daylight,3260,15,6,2018,9,20,1
6,60900,1,0,1,1,35.61212222,-118.884,1,0,CA,Unknown,Daylight,0,28,4,2018,14,0,1
6,60901,1,0,1,2,34.00155556,-116.963,1,1,CA,Unknown,Daylight,0,5,5,2018,16,30,1
6,60902,1,0,2,1,40.40220278,-123.462,1,1,CA,Unknown,Dark Not Lighted,0,11,5,2018,23,35,2
6,60903,5,0,2,2,37.85356944,-122.277,1,1,CA,BERKELEY,Dark Lighted,340,8,2,2018,6,34,3
6,60904,1,0,1,2,33.94928056,-117.359,1,1,CA,RIVERSIDE,Dark Lighted,3070,17,3,2018,6,4,3
6,60905,1,0,1,2,34.04846389,-117.294,1,1,CA,COLTON,Dark Lighted,790,4,4,2018,5,21,3
6,60906,3,0,7,1,33.81001944,-116.947,1,1,CA,Unknown,Daylight,0,13,5,2018,19,38,1
6,60907,3,0,4,2,37.65760833,-122.072,1,0,CA,HAYWARD,Daylight,1560,9,6,2018,6,28,1
6,60908,1,1,1,2,32.81331944,-116.95100000000001,1,0,CA,EL CAJON,Daylight,1080,13,3,2018,17,14,1
6,60909,3,0,7,2,34.60175556,-118.17399999999999,1,0,CA,PALMDALE,Dark Lighted,2645,15,2,2018,22,35,3
6,60910,2,0,6,2,34.11128889,-118.334,1,1,CA,LOS ANGELES,Dark Lighted,1980,10,6,2018,2,20,3
6,60911,1,1,1,2,38.01932222,-121.931,1,0,CA,Unknown,Dark Lighted,0,23,4,2018,20,35,3
6,60912,1,1,3,2,37.77428611,-122.23100000000001,1,0,CA,OAKLAND,Dark Not Lighted,2480,10,2,2018,19,45,2
6,60913,1,0,2,2,34.407325,-118.575,2,0,CA,SANTA CLARITA,Daylight,3445,12,5,2018,18,10,1
6,60914,1,0,1,2,38.77500833,-121.24,1,0,CA,ROCKLIN,Daylight,3080,23,5,2018,17,14,1
6,60915,1,0,4,1,38.60931111,-120.956,2,0,CA,Unknown,Daylight,0,6,5,2018,19,16,1
6,60916,1,0,1,1,38.70665278,-120.944,1,0,CA,Unknown,Daylight,0,23,5,2018,6,5,1
6,60917,1,0,1,1,36.85052778,-120.73200000000001,1,0,CA,Unknown,Dark Not Lighted,0,7,6,2018,2,20,2
6,60918,1,0,3,1,33.24978889,-117.14399999999999,1,0,CA,Unknown,Dark Not Lighted,0,19,5,2018,1,45,2
6,60919,2,0,3,1,35.23849444,-117.61,2,0,CA,Unknown,Daylight,0,29,3,2018,7,26,1
6,60920,1,1,1,1,33.21079722,-117.134,1,0,CA,Unknown,Dark Not Lighted,0,1,6,2018,1,42,2
6,60921,1,0,3,2,32.74794167,-116.993,1,0,CA,Unknown,Daylight,0,1,5,2018,7,30,1
6,60922,2,0,3,1,37.35054444,-119.601,1,0,CA,Unknown,Daylight,0,24,7,2018,14,50,1
6,60923,2,0,5,1,32.78083333,-117.09100000000001,1,0,CA,SAN DIEGO,Daylight,3260,17,5,2018,13,32,1
6,60924,2,0,2,1,34.26595833,-118.354,2,0,CA,LOS ANGELES,Daylight,1980,20,6,2018,13,5,1
6,60925,1,0,4,2,34.67508333,-118.095,1,1,CA,LANCASTER,Daylight,1840,3,7,2018,16,46,1
6,60926,2,0,4,2,33.80804444,-116.988,1,1,CA,SAN JACINTO,Dark Lighted,3320,2,2,2018,23,52,3
6,60927,1,1,1,2,37.72555,-121.416,1,0,CA,TRACY,Dark Lighted,3880,21,4,2018,1,29,3
6,60928,2,0,2,2,34.05934722,-117.226,1,0,CA,LOMA LINDA,Daylight,1947,5,4,2018,17,13,1
6,60929,3,0,3,2,34.12918611,-117.834,1,0,CA,GLENDORA,Daylight,1440,16,6,2018,12,32,1
6,60930,2,1,1,2,34.07456389,-118.214,1,0,CA,LOS ANGELES,Dark Lighted,1980,1,4,2018,21,50,3
6,60931,1,0,1,2,37.90118889,-122.07,1,1,CA,WALNUT CREEK,Dark Not Lighted,4070,29,4,2018,4,2,2
6,60932,2,0,3,2,33.85601944,-118.00399999999999,1,0,CA,BUENA PARK,Dark Not Lighted,470,17,4,2018,4,18,2
6,60933,2,0,2,1,38.46213056,-120.03399999999999,1,1,CA,Unknown,Daylight,0,20,6,2018,13,15,1
6,60934,1,1,1,2,39.12819167,-121.53,1,0,CA,Unknown,Dark Not Lighted,0,23,7,2018,21,15,2
6,60935,4,0,6,2,36.31305556,-119.807,2,0,CA,Unknown,Daylight,0,7,7,2018,13,41,1
6,60936,3,0,8,2,33.78187778,-117.831,1,0,CA,ORANGE,Daylight,2560,24,2,2018,14,25,1
6,60937,3,0,2,2,34.03557222,-118.039,1,0,CA,SOUTH EL MONTE,Dark Lighted,3686,27,5,2018,3,10,3
6,60938,2,0,2,2,34.27722222,-118.709,1,1,CA,SIMI VALLEY,Daylight,3641,25,6,2018,8,26,1
6,60939,1,0,1,2,34.20250556,-118.855,1,0,CA,THOUSAND OAKS,Daylight,3860,21,2,2018,14,20,1
6,60940,1,1,3,2,36.385025,-119.21700000000001,1,0,CA,Unknown,Dark Lighted,0,14,6,2018,21,45,3
6,60941,3,0,3,1,36.8082,-119.556,1,0,CA,Unknown,Daylight,0,5,6,2018,9,40,1
6,60942,1,0,1,1,32.91647778,-115.42299999999999,1,1,CA,Unknown,Dawn,0,2,6,2018,5,0,4
6,60943,1,1,1,1,37.46355556,-120.84,1,0,CA,Unknown,Dark Not Lighted,0,2,5,2018,20,30,2
6,60944,1,0,1,2,37.48570833,-121.09899999999999,1,0,CA,Unknown,Dawn,0,3,6,2018,6,50,4
6,60945,1,0,1,1,36.88307222,-121.72,1,1,CA,Unknown,Daylight,0,21,5,2018,16,20,1
6,60946,3,0,4,2,34.40681667,-118.757,2,0,CA,Unknown,Daylight,0,24,1,2018,16,31,1
6,60947,1,0,1,1,39.17306667,-123.213,1,0,CA,Unknown,Dark Not Lighted,0,4,5,2018,3,55,2
6,60948,1,1,1,2,37.71083889,-122.126,1,0,CA,SAN LEANDRO,Dark Not Lighted,3360,10,5,2018,22,5,2
6,60949,2,0,3,1,36.74202222,-120.096,2,0,CA,Unknown,Daylight,0,8,6,2018,15,30,1
6,60951,2,0,3,1,37.0883,-121.11399999999999,1,0,CA,Unknown,Dark Not Lighted,0,4,6,2018,2,31,2
6,60952,1,1,1,1,39.25952778,-120.212,1,0,CA,Unknown,Daylight,0,10,6,2018,9,40,1
6,60953,1,0,1,2,37.21516944,-120.851,1,0,CA,Unknown,Daylight,0,8,7,2018,8,20,1
6,60954,2,0,2,2,33.92405,-118.307,1,0,CA,Unknown,Dark Lighted,0,5,5,2018,22,30,3
6,60955,2,0,2,1,35.50708889,-115.434,1,0,CA,Unknown,Dawn,0,25,3,2018,6,5,4
6,60956,1,0,1,1,34.797925,-116.508,1,0,CA,Unknown,Dark Not Lighted,0,9,6,2018,21,42,2
6,60957,1,0,1,2,40.3819,-123.015,1,1,CA,Unknown,Dark Not Lighted,0,8,7,2018,0,1,2
6,60958,4,0,4,2,33.14380833,-117.07799999999999,2,2,CA,ESCONDIDO,Dark Lighted,1200,25,3,2018,23,27,3
6,60959,2,0,2,2,33.66858056,-116.26799999999999,1,0,CA,LA QUINTA,Daylight,1846,13,4,2018,15,13,1
6,60960,2,0,2,2,33.68970278,-117.352,1,0,CA,LAKE ELSINORE,Daylight,1801,22,3,2018,9,11,1
6,60961,1,1,1,2,36.76423889,-119.935,1,0,CA,FRESNO,Dark Not Lighted,1370,18,2,2018,20,13,2
6,60962,2,0,2,1,41.51923889,-124.03200000000001,1,0,CA,Unknown,Daylight,0,27,4,2018,10,30,1
6,60963,9,0,11,2,33.89963056,-116.53,1,0,CA,GARNET,Dark Not Lighted,2650,16,4,2018,4,59,2
6,60964,2,0,3,1,40.228625,-123.83,2,1,CA,Unknown,Daylight,0,13,4,2018,11,42,1
6,60965,1,0,1,2,34.40377778,-118.45700000000001,1,1,CA,SANTA CLARITA,Dark Lighted,3445,28,7,2018,23,35,3
6,60966,1,0,2,2,32.66171111,-116.964,1,0,CA,CHULA VISTA,Daylight,710,3,2,2018,14,30,1
6,60967,2,0,2,2,33.92947222,-118.249,1,0,CA,LOS ANGELES,Daylight,1980,1,6,2018,7,20,1
6,60968,2,0,2,2,34.15562778,-118.781,1,0,CA,AGOURA HILLS,Daylight,11,21,6,2018,11,45,1
6,60969,1,1,1,2,34.10828056,-117.73700000000001,1,0,CA,POMONA,Dark Lighted,2870,18,7,2018,21,41,3
6,60970,2,0,4,2,34.70415833,-118.117,1,1,CA,LANCASTER,Dark Lighted,1840,19,7,2018,22,25,3
6,60971,2,0,2,2,33.78985,-118.225,1,0,CA,LONG BEACH,Daylight,1970,24,7,2018,16,0,1
6,60972,1,2,1,2,38.52674722,-121.49600000000001,1,0,CA,SACRAMENTO,Daylight,3150,31,1,2018,15,24,1
6,60973,1,0,1,2,33.97524444,-117.544,1,1,CA,Unknown,Dark Lighted,9997,20,2,2018,0,54,3
6,60974,1,1,1,1,33.972425,-118.292,1,0,CA,LOS ANGELES,Dark Lighted,1980,19,3,2018,6,10,3
6,60975,1,0,1,2,34.08818611,-117.402,1,1,CA,BLOOMINGTON,Dusk,396,4,3,2018,16,35,5
6,60976,1,1,1,1,34.36544167,-119.05799999999999,1,0,CA,SANTA PAULA,Dark Lighted,3480,25,4,2018,5,36,3
6,60977,2,0,2,1,34.34754722,-118.37200000000001,1,0,CA,Unknown,Daylight,0,30,6,2018,11,50,1
6,60978,1,0,1,1,39.06684722,-123.236,1,1,CA,Unknown,Daylight,0,12,5,2018,18,45,1
6,60979,1,0,1,1,37.76888333,-122.006,1,1,CA,Unknown,Dark Not Lighted,0,19,5,2018,99,99,2
6,60980,1,0,1,1,34.95571944,-120.41799999999999,1,0,CA,SANTA MARIA,Daylight,3460,18,5,2018,11,48,1
6,60981,1,0,1,1,34.75026389,-117.314,1,1,CA,Unknown,Daylight,0,12,6,2018,18,9,1
6,60982,1,0,1,1,34.50460556,-118.245,1,0,CA,Unknown,Daylight,0,1,6,2018,14,0,1
6,60983,1,1,1,2,33.67888333,-117.84899999999999,1,0,CA,COSTA MESA,Dark Not Lighted,880,4,4,2018,0,27,2
6,60984,1,2,1,2,32.78109444,-116.98200000000001,2,0,CA,EL CAJON,Dark Not Lighted,1080,8,4,2018,1,24,2
6,60985,2,0,4,2,32.77925556,-116.985,1,1,CA,EL CAJON,Daylight,1080,23,4,2018,18,5,1
6,60986,2,0,2,1,35.78033056,-120.20700000000001,1,0,CA,Unknown,Daylight,0,30,4,2018,14,50,1
6,60987,1,1,1,1,38.2037,-121.531,1,0,CA,Unknown,Dawn,0,26,6,2018,4,50,4
6,60988,3,0,6,1,37.97104444,-120.365,1,1,CA,Unknown,Dark Not Lighted,0,26,4,2018,23,50,2
6,60989,1,0,2,1,38.45364167,-122.152,1,1,CA,Unknown,Daylight,0,22,5,2018,17,45,1
6,60990,2,0,4,1,33.32376389,-115.99700000000001,1,0,CA,Unknown,Daylight,0,1,5,2018,13,20,1
6,60991,4,0,5,1,33.68698056,-115.521,1,0,CA,Unknown,Daylight,0,17,5,2018,6,30,1
6,60992,1,1,2,2,36.98557778,-121.559,1,0,CA,GILROY,Dark Not Lighted,1420,9,7,2018,21,50,2
6,60993,1,0,2,1,34.79774722,-115.38799999999999,2,0,CA,Unknown,Daylight,0,25,6,2018,7,0,1
6,60994,2,0,2,2,37.02887222,-122.023,1,0,CA,Unknown,Daylight,0,15,2,2018,15,50,1
6,60995,1,0,2,1,34.73001667,-117.39200000000001,1,0,CA,Unknown,Dark Not Lighted,0,10,7,2018,22,30,2
6,60996,2,0,3,1,38.71839444,-120.883,2,0,CA,Unknown,Daylight,0,3,7,2018,15,10,1
6,60998,1,0,1,2,38.86491944,-121.3,1,1,CA,LINCOLN,Dark Not Lighted,1890,13,7,2018,99,99,2
